tweet_id,user_id,user_name,followers,following,likes,retweets,date,reply_to_id,reply_to_username,user_mentions_ids,user_mentions_names,text,retweet_from_id,retweet_from_username,retweet_from_tweet_id
1271937810317094912,3401487581,Noirmeilleur_,290,278,0,1375,2020-06-13 22:49:40,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937772820017152,3007212384,Chrimo_Msg,461,221,0,1375,2020-06-13 22:49:31,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937703064584198,2189473455,Puma710Rodolphe,432,425,0,827,2020-06-13 22:49:14,,,['3306815273'],['RevPermanente'],RT @RevPermanente: Jeudi le syndicat policier Alliance a lancé un sondage Facebook pour tenter de montrer que la police bénéficie du soutie…,3306815273,RevPermanente,1271751670242906112
1271937688116121605,50650776,DDaya_23,500,1006,0,50,2020-06-13 22:49:10,,,['704222685862174720'],['LPLdirect'],"RT @LPLdirect: 🇺🇸[FLASH] - Rayshard #Brooks, un afro-américain, a été tué par la #police hier à #Atlanta. Il venait de voler un taser, puis…",704222685862174720,LPLdirect,1271929005273423872
1271937643446747139,1259679110529515520,ouss184,28,57,0,1375,2020-06-13 22:49:00,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937608155893765,1111967687050174464,NadM69474474,176,187,0,1375,2020-06-13 22:48:51,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937432842354690,414688013,cephoflow,343,390,0,1375,2020-06-13 22:48:10,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937361249734656,1246175828167348225,KongoPoopy,14,44,0,0,2020-06-13 22:47:53,795045814737498112,AndyBemba,['795045814737498112'],['AndyBemba'],"@AndyBemba Tu es pour le peuple avec un policier derrière , Donc la police du Congo n’a qu’a finir sur tout les députés ! Qui va protéger la population ?",,,
1271937316584665089,1258730602741800965,Dooweeey7,27,68,0,758,2020-06-13 22:47:42,,,['1214315619031478272'],['Conflits_FR'],RT @Conflits_FR: 🇫🇷 FLASH - Tensions à #Republique. Un #policier se prend un coup de pied d'un Black block par derrière. D'autres tombent e…,1214315619031478272,Conflits_FR,1271833653451149312
1271937312696524802,1433621923,laura_dcstaa,912,512,0,1375,2020-06-13 22:47:41,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937292068888578,4535481335,PChaibriant,3018,2847,0,827,2020-06-13 22:47:36,,,['3306815273'],['RevPermanente'],RT @RevPermanente: Jeudi le syndicat policier Alliance a lancé un sondage Facebook pour tenter de montrer que la police bénéficie du soutie…,3306815273,RevPermanente,1271751670242906112
1271937253602885632,1267010137866338305,HikariSpades,6,114,0,1375,2020-06-13 22:47:27,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937204252704768,469601672,itsbvnu,550,118,0,1375,2020-06-13 22:47:15,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937181129596928,483305600,AlexM237,4202,552,0,1375,2020-06-13 22:47:10,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937136892280833,2773354715,BigTouffa,383,85,0,1375,2020-06-13 22:46:59,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937101970509824,1193394306670907392,lamourdurire2,213,275,0,1375,2020-06-13 22:46:51,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937088376713216,1086962000498970624,menu_leo,95,185,0,1375,2020-06-13 22:46:47,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937011016966144,1433621923,laura_dcstaa,912,512,0,51,2020-06-13 22:46:29,,,['1214315619031478272'],['Conflits_FR'],RT @Conflits_FR: 🇨🇦 FLASH - Un autochtone micmaque de 48 ans est mort après avoir été touché par un tir de la #police à #Miramichi (est du…,1214315619031478272,Conflits_FR,1271857674385338368
1271937009704108040,790456911816716288,carlarnou,25,38,0,1375,2020-06-13 22:46:29,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937009184096256,790706389408702468,ahmet_0901,28,446,0,1375,2020-06-13 22:46:29,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936973977108480,1238894245,Naldo_tkt,1879,1523,0,1375,2020-06-13 22:46:20,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936953697677312,4237011635,SandraSimon08,2888,4993,0,1375,2020-06-13 22:46:15,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936894838996992,2389273856,fb75016,487,5003,0,50,2020-06-13 22:46:01,,,['704222685862174720'],['LPLdirect'],"RT @LPLdirect: 🇺🇸[FLASH] - Rayshard #Brooks, un afro-américain, a été tué par la #police hier à #Atlanta. Il venait de voler un taser, puis…",704222685862174720,LPLdirect,1271929005273423872
1271936855492173825,1147917382805069831,ilona_berthelot,26,89,0,1375,2020-06-13 22:45:52,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936805466767360,580939657,franzyroy,391,6,0,827,2020-06-13 22:45:40,,,['3306815273'],['RevPermanente'],RT @RevPermanente: Jeudi le syndicat policier Alliance a lancé un sondage Facebook pour tenter de montrer que la police bénéficie du soutie…,3306815273,RevPermanente,1271751670242906112
1271936734247497728,711344918728413185,joliyeuxverts,573,1292,0,1375,2020-06-13 22:45:23,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936609093648385,1051539082688585729,graziellaebb,190,346,0,1375,2020-06-13 22:44:53,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936582996631552,394261808,EJC_21_,719,1177,0,1375,2020-06-13 22:44:47,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936538662887424,2818688681,pure_yt,96,480,0,1375,2020-06-13 22:44:36,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936475911925762,1194358048342650882,Marseillaiss_13,850,2151,0,1375,2020-06-13 22:44:21,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936453984104449,1208100394301300743,LavenderGirl47,288,419,0,1375,2020-06-13 22:44:16,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936385767952385,2937067313,kloe_cam,279,311,0,1375,2020-06-13 22:44:00,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936359872311297,2800287108,PapaaDia,447,1319,0,1375,2020-06-13 22:43:54,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271936349231341569,1087076023005597696,lereubeuricain,39,205,0,1375,2020-06-13 22:43:51,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
